Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
drone_body,3.9739303772232E-05,-0.00112994714726676,-0.00455425521413035,0,0,0,0.357445870183079,0.000431080496676135,5.48449149897168E-05,-3.7324869857622E-10,0.00168484099043515,1.18114705298716E-12,0.00169240821714416,0,0,0,0,0,0,package://drone_description/meshes/drone_body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/drone_body.STL,,Flex Drone Body 5 deg-1,global_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
front_arm,-3.328156376603E-07,0.00528847069891194,-4.23110765174206E-12,0,0,0,0.0488863352917365,0.000132396833896061,-4.99567917547445E-13,-7.39033945209973E-13,0.000132377174520321,-2.4738845028855E-17,2.60423234522648E-06,0,0,0,0,0,0,package://drone_description/meshes/front_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/front_arm.STL,,Flex Drone Arm-1,front_arm,front_arm_axle,front_arm_joint,continuous,0.132672408666361,-0.00476080646900178,-0.00245406277845809,1.5707963267949,0,0,drone_body,0,0,-1,,,,,,,,,,,,0
front_right_prop,-2.77555756156289E-17,2.77555756156289E-17,0.0015875,0,0,0,0.00504005698984341,1.27162752917409E-06,3.11019910319938E-22,1.7556908501438E-22,1.27162752917409E-06,2.36643125436923E-23,2.53478723759932E-06,0,0,0,0,0,0,package://drone_description/meshes/front_right_prop.STL,1,1,1,1,0,0,0,0,0,0,package://drone_description/meshes/front_right_prop.STL,,Flex Drone Prop-1,front_right_motor,front_right_axle,front_right_prop_joint,continuous,0,0.019049999962237,0.1325,-1.5707963267949,0,6.29649045572343E-05,front_arm,0,0,1,,,,,,,,,,,,0
front_left_prop,0,2.77555756156289E-17,0.0015875,0,0,0,0.00504005698984341,1.2716275291741E-06,-2.11758236813575E-22,1.98239003677162E-22,1.27162752917409E-06,2.84666452991882E-23,2.53478723759932E-06,0,0,0,0,0,0,package://drone_description/meshes/front_left_prop.STL,1,1,1,1,0,0,0,0,0,0,package://drone_description/meshes/front_left_prop.STL,,Flex Drone Prop-2,front_left_motor,front_left_axle,front_left_prop_joint,continuous,0,0.0190499999622373,-0.1325,-1.5707963267949,0,6.29649045572343E-05,front_arm,0,0,1,,,,,,,,,,,,0
front_right_wing,-2.5687142760078E-07,-6.69619957427425E-07,8.55690921422805E-05,0,0,0,0.0106409229155552,3.22240827607208E-05,8.34233189015923E-12,4.40330785296604E-13,1.00346951370682E-06,-3.00146201115274E-21,3.14347766518031E-05,0,0,0,0,0,0,package://drone_description/meshes/front_right_wing.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/front_right_wing.STL,,Flex Drone Wing-1,front_right_wing,front_arm_axle,front_right_wing_joint,fixed,0,-0.0170179999662659,0.1325,-1.5707963267949,0,6.29649045571202E-05,front_arm,0,0,0,,,,,,,,,,,,0
front_left_wing,2.56846023199975E-07,6.69619957344159E-07,8.55690884140337E-05,0,0,0,0.0106409229167305,3.22240827618886E-05,8.34233188918646E-12,-4.43666864087224E-13,1.00346951311838E-06,-3.89512807323328E-22,3.14347766541992E-05,0,0,0,0,0,0,package://drone_description/meshes/front_left_wing.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/front_left_wing.STL,,Flex Drone Wing-2,front_left_wing,front_arm_axle,front_left_wing_joint,fixed,0,-0.0170179999662655,-0.1325,-1.5707963267949,0,6.29649045573601E-05,front_arm,0,0,0,,,,,,,,,,,,0
back_arm,1.01225966386564E-05,0.00528846019484934,1.47609310191532E-10,0,0,0,0.0488863080383806,0.000132396769219207,-3.97533673058159E-11,-7.4484792510868E-13,0.000132377109834705,5.11229898613289E-16,2.60423206426902E-06,0,0,0,0,0,0,package://drone_description/meshes/back_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/back_arm.STL,,Flex Drone Arm-2,back_arm,back_arm_axle,back_arm_joint,continuous,-0.132404672949994,0.006812708857805,0.0175458972215418,1.5707963267949,0,-0.0872664625997166,drone_body,0,0,1,,,,,,,,,,,,0
back_right_prop,-2.77555756156289E-17,2.77555756156289E-17,0.0015875,0,0,0,0.00504005698984341,1.2716275291741E-06,1.27143339610406E-22,1.4475660719678E-22,1.27162752917409E-06,-2.05618043510812E-24,2.53478723759932E-06,0,0,0,0,0,0,package://drone_description/meshes/back_right_prop.STL,1,1,1,1,0,0,0,0,0,0,package://drone_description/meshes/back_right_prop.STL,,Flex Drone Prop-3,back_right_motor,back_right_axle,back_right_prop_joint,continuous,3.64629030858987E-05,0.0190499651038185,0.1325,-1.5707963267949,0,-0.00191406432285105,back_arm,0.000114168295889295,0,0.9999999934828,,,,,,,,,,,,0
back_left_prop,-5.55111512312578E-17,0,0.0015875,0,0,0,0.00504005698984341,1.2716275291741E-06,5.43898856097587E-23,1.70399206185924E-22,1.27162752917409E-06,-4.03801898769125E-23,2.53478723759932E-06,0,0,0,0,0,0,package://drone_description/meshes/back_left_prop.STL,1,1,1,1,0,0,0,0,0,0,package://drone_description/meshes/back_left_prop.STL,,Flex Drone Prop-4,back_left_motor,back_left_axle,back_left_prop_joint,continuous,3.6462903085871E-05,0.0190499651038184,-0.1325,-1.5707963267949,0,-0.00191406432285105,back_arm,0.000114168295889295,0,0.9999999934828,,,,,,,,,,,,0
back_right_wing,1.21655134022181E-08,5.55111512312578E-17,8.4713814092024E-05,0,0,0,0.0106410240095179,3.22240827652041E-05,8.34233189028258E-12,4.9341936635132E-13,1.00346951237549E-06,-8.1684646387411E-22,3.14347766576977E-05,0,0,0,0,0,0,package://drone_description/meshes/back_right_wing.STL,0.843137254901961,0.815686274509804,0.752941176470588,1,0,0,0,0,0,0,package://drone_description/meshes/back_right_wing.STL,,Flex Drone Wing-4,back_right_wing,back_arm_axle,back_right_wing_joint,fixed,-3.25735267566463E-05,-0.0170179688260777,0.1325,-1.5707963267949,0,-0.00191406432285116,back_arm,0,0,0,,,,,,,,,,,,0
